BSSID,First time seen,Last time seen,channel,Speed,Privacy,Cipher,Authentication,Power,# beacons,# IV,LAN IP,ID-length,ESSID,Key
FA:8F:CA:69:3B:B1,2016-02-27 06:42:01,2016-02-27 06:42:08,11,54,OPN,,,-53,2,0,0.  0.  0.  0,0,,
20:4E:7F:A0:B3:82,2016-02-27 06:42:01,2016-02-27 06:42:10,2,54,WEP,WEP,,-49,3,0,0.  0.  0.  0,13,WHAT UP WAZZU,
22:86:8C:44:07:8E,2016-02-27 06:42:04,2016-02-27 06:42:08,11,54,OPN,,,-49,4,0,0.  0.  0.  0,11,xfinitywifi,
CE:35:40:48:10:F3,2016-02-27 06:42:01,2016-02-27 06:42:08,11,54,OPN,,,-46,1,0,0.  0.  0.  0,11,xfinitywifi,
8C:04:FF:ED:A9:4F,2016-02-27 06:42:01,2016-02-27 06:42:09,1,54,WPA2 WPA,CCMP TKIP,PSK,-46,5,0,0.  0.  0.  0,9,HOME-A94F,
8E:04:FF:ED:A9:40,2016-02-27 06:42:01,2016-02-27 06:42:09,1,54,WPA2,CCMP,PSK,-46,4,0,0.  0.  0.  0,12,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,
8E:04:FF:ED:A9:41,2016-02-27 06:42:01,2016-02-27 06:42:09,1,54,OPN,,,-46,7,0,0.  0.  0.  0,11,xfinitywifi,
CC:35:40:48:10:F1,2016-02-27 06:42:03,2016-02-27 06:42:08,11,54,WPA2 WPA,CCMP TKIP,PSK,-46,4,0,0.  0.  0.  0,10,VZ-Seattle,
6C:B0:CE:76:24:9C,2016-02-27 06:42:01,2016-02-27 06:42:09,6,54,WPA2,CCMP,PSK,-46,3,0,0.  0.  0.  0,9,NETGEAR30,
10:5F:06:72:78:35,2016-02-27 06:42:01,2016-02-27 06:42:10,11,54,WPA2 WPA,CCMP TKIP,PSK,-44,4,0,0.  0.  0.  0,15,CenturyLink5546,
C0:3F:0E:25:1C:3A,2016-02-27 06:42:02,2016-02-27 06:42:09,6,54,WPA2 WPA,CCMP TKIP,PSK,-44,5,0,0.  0.  0.  0,8,TheLofts,
10:86:8C:44:07:8E,2016-02-27 06:42:01,2016-02-27 06:42:08,11,54,WPA2 WPA,CCMP TKIP,PSK,-44,1,90,0.  0.  0.  0,5,Roxie,
CE:35:40:48:10:F2,2016-02-27 06:42:04,2016-02-27 06:42:08,11,54,WPA2,CCMP,PSK,-45,2,0,0.  0.  0.  0,12,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,
14:CC:20:C7:CE:FE,2016-02-27 06:42:01,2016-02-27 06:42:08,5,54,WPA2 WPA,CCMP,PSK,-42,6,1,0.  0.  0.  0,9,Devil Dog,
12:86:8C:44:07:8E,2016-02-27 06:42:04,2016-02-27 06:42:08,11,54,WPA2 WPA,CCMP TKIP,PSK,-43,2,0,0.  0.  0.  0,0,,
D0:BF:9C:51:8E:3E,2016-02-27 06:42:02,2016-02-27 06:42:10,8,54,WPA2,CCMP,PSK,-33,5,0,0.  0.  0.  0,31,HP-Print-3E-Deskjet 2540 series,
40:8B:07:23:86:B5,2016-02-27 06:42:01,2016-02-27 06:42:09,6,54,WPA2,CCMP TKIP,PSK,-33,4,0,0.  0.  0.  0,4,SPQR,
C0:3F:0E:09:75:A4,2016-02-27 06:42:02,2016-02-27 06:42:08,11,54,WPA2 WPA,CCMP TKIP,PSK,-26,3,1,0.  0.  0.  0,4,64oz,
74:85:2A:97:5B:09,2016-02-27 06:42:02,2016-02-27 06:42:10,8,54,WPA2 WPA,CCMP TKIP,PSK,-13,10,0,0.  0.  0.  0,0,,
74:85:2A:97:5B:0A,2016-02-27 06:42:01,2016-02-27 06:42:10,8,54,OPN,,,-13,8,0,0.  0.  0.  0,11,xfinitywifi,
74:85:2A:97:5B:08,2016-02-27 06:42:01,2016-02-27 06:42:10,8,54,WPA2,CCMP,PSK,-13,6,0,0.  0.  0.  0,6,Walrus,
E8:3E:FC:9F:45:10,2016-02-27 06:42:01,2016-02-27 06:42:01,1,-1,WPA,,,-1,0,1,0.  0.  0.  0,0,,
00:25:00:FF:94:73,2016-02-27 06:42:04,2016-02-27 06:42:09,-1,-1,,,,-1,0,0,0.  0.  0.  0,0,,
EC:1A:59:3B:91:69,2016-02-27 06:42:08,2016-02-27 06:42:08,11,54,WPA2,CCMP TKIP,PSK,-68,2,0,0.  0.  0.  0,17,belkin.166.guests,
90:C7:92:1E:D3:30,2016-02-27 06:42:08,2016-02-27 06:42:08,11,54,WPA2,CCMP,PSK,-68,2,0,0.  0.  0.  0,12,NormanTheCat,
96:C7:92:1E:D3:30,2016-02-27 06:42:08,2016-02-27 06:42:08,11,54,OPN,,,-73,2,0,0.  0.  0.  0,11,xfinitywifi,
94:57:A5:C6:0A:4C,2016-02-27 06:42:08,2016-02-27 06:42:08,11,54,WPA2,CCMP,PSK,-71,2,0,0.  0.  0.  0,29,DIRECT-4B-HP ENVY 4520 series,
EC:1A:59:3B:91:66,2016-02-27 06:42:08,2016-02-27 06:42:08,-1,-1,,,,-70,0,0,0.  0.  0.  0,0,,
28:92:4A:C5:8D:3C,2016-02-27 06:42:08,2016-02-27 06:42:08,11,54,WPA2,CCMP,PSK,-56,1,0,0.  0.  0.  0,27,HP-Print-3C-ENVY 120 series,
5A:23:8C:E4:7D:04,2016-02-27 06:42:08,2016-02-27 06:42:08,11,54,WPA2,CCMP,PSK,-68,1,0,0.  0.  0.  0,12,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,
5A:23:8C:E4:7D:05,2016-02-27 06:42:08,2016-02-27 06:42:08,11,54,OPN,,,-72,1,0,0.  0.  0.  0,11,xfinitywifi,
6C:B0:CE:B9:17:95,2016-02-27 06:42:08,2016-02-27 06:42:08,11,54,WPA2,CCMP,PSK,-62,0,0,0.  0.  0.  0,9,NETGEAR09,
00:71:C2:6F:D6:20,2016-02-27 06:42:09,2016-02-27 06:42:09,6,54,WPA2 WPA,CCMP TKIP,PSK,-76,1,0,0.  0.  0.  0,13,HOME-308A-2.4,
6C:70:9F:DC:B1:A2,2016-02-27 06:42:09,2016-02-27 06:42:09,6,54,WPA2,CCMP,PSK,-64,1,0,0.  0.  0.  0,22,_If Wishes Were Fishes,
92:C7:92:32:E7:60,2016-02-27 06:42:20,2016-02-27 06:42:24,6,54,WPA2,CCMP,PSK,-72,4,0,0.  0.  0.  0,0,,
94:44:52:F7:42:E7,2016-02-27 06:42:20,2016-02-27 06:42:24,6,54,WPA2 WPA,CCMP,PSK,-74,3,0,0.  0.  0.  0,3,KCD,
84:C9:B2:54:C6:F5,2016-02-27 06:42:16,2016-02-27 06:42:16,5,54,WPA,CCMP TKIP,PSK,-70,1,0,0.  0.  0.  0,15,Wee Ones Parade,
C0:4A:00:77:F3:14,2016-02-27 06:42:20,2016-02-27 06:42:24,6,54,WPA2 WPA,CCMP,PSK,-71,2,0,0.  0.  0.  0,8,equinoks,
02:15:99:A9:A5:B8,2016-02-27 06:42:16,2016-02-27 06:42:24,7,54,WPA2,CCMP,PSK,-69,3,0,0.  0.  0.  0,16,DIRECT-HnML-2160,
90:C7:92:32:E7:60,2016-02-27 06:42:20,2016-02-27 06:42:24,6,54,WPA2,CCMP TKIP,PSK,-68,3,4,0.  0.  0.  0,9,HOME-E762,
40:4A:03:DE:C0:D3,2016-02-27 06:42:18,2016-02-27 06:42:18,3,54,WPA2 WPA,CCMP TKIP,PSK,-66,1,0,0.  0.  0.  0,8,KitKatKo,
DC:85:DE:C1:12:15,2016-02-27 06:42:18,2016-02-27 06:42:18,10,54,OPN,,,-66,1,0,0.  0.  0.  0,8,WMc11215,
6C:B0:CE:B9:17:95,2016-02-27 06:42:19,2016-02-27 06:42:19,11,54,WPA2,CCMP,PSK,-66,0,0,0.  0.  0.  0,9,NETGEAR09,
96:C7:92:32:E7:60,2016-02-27 06:42:20,2016-02-27 06:42:24,6,54,OPN,,,-71,3,0,0.  0.  0.  0,11,xfinitywifi,
94:57:A5:C6:0A:4C,2016-02-27 06:42:19,2016-02-27 06:42:24,11,54,WPA2,CCMP,PSK,-67,1,0,0.  0.  0.  0,29,DIRECT-4B-HP ENVY 4520 series,
AE:34:26:25:AC:C6,2016-02-27 06:42:16,2016-02-27 06:42:24,1,54,OPN,,,-62,5,0,0.  0.  0.  0,11,xfinitywifi,
E2:3E:FC:9F:45:10,2016-02-27 06:42:20,2016-02-27 06:42:20,1,54,WPA2,CCMP,PSK,-62,1,0,0.  0.  0.  0,0,,
9E:34:26:25:AC:C6,2016-02-27 06:42:20,2016-02-27 06:42:24,1,54,WPA2 WPA,CCMP TKIP,PSK,-60,3,0,0.  0.  0.  0,0,,
00:71:C2:61:EE:28,2016-02-27 06:42:20,2016-02-27 06:42:25,1,54,WPA2 WPA,CCMP TKIP,PSK,-65,4,0,0.  0.  0.  0,13,HOME-E4CE-2.4,
9C:34:26:25:AC:C6,2016-02-27 06:42:16,2016-02-27 06:42:24,1,54,WPA2 WPA,CCMP TKIP,PSK,-60,4,1,0.  0.  0.  0,8,Buddy206,
62:E3:27:69:E5:60,2016-02-27 06:42:20,2016-02-27 06:42:20,6,54,WPA2,CCMP,PSK,-60,0,0,0.  0.  0.  0,14,imronburgandy?,
90:EF:68:05:51:D9,2016-02-27 06:42:20,2016-02-27 06:42:24,1,54,WPA2 WPA,CCMP TKIP,PSK,-61,3,0,0.  0.  0.  0,11,FeedTheMoon,
FA:8F:CA:61:6E:4B,2016-02-27 06:42:19,2016-02-27 06:42:24,11,54,OPN,,,-56,4,0,0.  0.  0.  0,0,,
A0:A3:E2:21:6C:85,2016-02-27 06:42:20,2016-02-27 06:42:24,1,54,WPA2 WPA,CCMP TKIP,PSK,-54,2,0,0.  0.  0.  0,7,CarBear,
FA:8F:CA:69:3B:B1,2016-02-27 06:42:19,2016-02-27 06:42:23,11,54,OPN,,,-54,2,0,0.  0.  0.  0,0,,
6C:B0:CE:76:24:9C,2016-02-27 06:42:20,2016-02-27 06:42:24,6,54,WPA2,CCMP,PSK,-51,4,0,0.  0.  0.  0,9,NETGEAR30,
AA:66:7F:C5:EC:B0,2016-02-27 06:42:16,2016-02-27 06:42:24,1,54,WPA2,CCMP,PSK,-48,4,113,0.  0.  0.  0,11,Adam.Tucker,
20:4E:7F:A0:B3:82,2016-02-27 06:42:21,2016-02-27 06:42:25,2,54,WEP,WEP,,-50,3,0,0.  0.  0.  0,13,WHAT UP WAZZU,
22:86:8C:44:07:8E,2016-02-27 06:42:16,2016-02-27 06:42:16,11,54,OPN,,,-48,1,0,0.  0.  0.  0,11,xfinitywifi,
CC:35:40:48:10:F1,2016-02-27 06:42:16,2016-02-27 06:42:23,11,54,WPA2 WPA,CCMP TKIP,PSK,-46,3,0,0.  0.  0.  0,10,VZ-Seattle,
CE:35:40:48:10:F2,2016-02-27 06:42:16,2016-02-27 06:42:24,11,54,WPA2,CCMP,PSK,-46,4,0,0.  0.  0.  0,12,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,
8C:04:FF:ED:A9:4F,2016-02-27 06:42:16,2016-02-27 06:42:24,1,54,WPA2 WPA,CCMP TKIP,PSK,-46,5,0,0.  0.  0.  0,9,HOME-A94F,
8E:04:FF:ED:A9:40,2016-02-27 06:42:16,2016-02-27 06:42:24,1,54,WPA2,CCMP,PSK,-46,4,0,0.  0.  0.  0,12,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,
8E:04:FF:ED:A9:41,2016-02-27 06:42:16,2016-02-27 06:42:24,1,54,OPN,,,-46,5,0,0.  0.  0.  0,11,xfinitywifi,
12:86:8C:44:07:8E,2016-02-27 06:42:19,2016-02-27 06:42:23,11,54,WPA2 WPA,CCMP TKIP,PSK,-46,3,0,0.  0.  0.  0,0,,
10:86:8C:44:07:8E,2016-02-27 06:42:16,2016-02-27 06:42:24,11,54,WPA2 WPA,CCMP TKIP,PSK,-46,1,235,0.  0.  0.  0,5,Roxie,
C0:3F:0E:25:1C:3A,2016-02-27 06:42:20,2016-02-27 06:42:24,6,54,WPA2 WPA,CCMP TKIP,PSK,-43,4,0,0.  0.  0.  0,8,TheLofts,
14:CC:20:C7:CE:FE,2016-02-27 06:42:16,2016-02-27 06:42:23,5,54,WPA2 WPA,CCMP,PSK,-42,6,0,0.  0.  0.  0,9,Devil Dog,
D0:BF:9C:51:8E:3E,2016-02-27 06:42:17,2016-02-27 06:42:25,8,54,WPA2,CCMP,PSK,-36,6,0,0.  0.  0.  0,31,HP-Print-3E-Deskjet 2540 series,
40:8B:07:23:86:B5,2016-02-27 06:42:16,2016-02-27 06:42:24,6,54,WPA2,CCMP TKIP,PSK,-34,3,0,0.  0.  0.  0,4,SPQR,
C0:3F:0E:09:75:A4,2016-02-27 06:42:19,2016-02-27 06:42:19,11,54,WPA2 WPA,CCMP TKIP,PSK,-29,2,3,0.  0.  0.  0,4,64oz,
74:85:2A:97:5B:0A,2016-02-27 06:42:16,2016-02-27 06:42:25,8,54,OPN,,,-12,13,0,0.  0.  0.  0,11,xfinitywifi,
74:85:2A:97:5B:08,2016-02-27 06:42:17,2016-02-27 06:42:25,8,54,WPA2,CCMP,PSK,-11,6,0,0.  0.  0.  0,6,Walrus,
74:85:2A:97:5B:09,2016-02-27 06:42:17,2016-02-27 06:42:25,8,54,WPA2 WPA,CCMP TKIP,PSK,-10,8,0,0.  0.  0.  0,0,,
00:25:00:FF:94:73,2016-02-27 06:42:20,2016-02-27 06:42:24,-1,-1,,,,-1,0,0,0.  0.  0.  0,0,,
90:C7:92:1E:D3:30,2016-02-27 06:42:23,2016-02-27 06:42:23,11,54,WPA2,CCMP,PSK,-74,1,0,0.  0.  0.  0,12,NormanTheCat,
92:C7:92:1E:D3:30,2016-02-27 06:42:23,2016-02-27 06:42:23,11,54,WPA2,CCMP,PSK,-74,1,0,0.  0.  0.  0,0,,
96:C7:92:1E:D3:30,2016-02-27 06:42:23,2016-02-27 06:42:23,11,54,OPN,,,-64,1,0,0.  0.  0.  0,11,xfinitywifi,
9C:D3:6D:99:14:0B,2016-02-27 06:42:24,2016-02-27 06:42:24,11,54,WPA2,CCMP,PSK,-76,1,0,0.  0.  0.  0,17,"""April Lane's 2.4 """,
CE:35:40:48:10:F3,2016-02-27 06:42:24,2016-02-27 06:42:24,11,54,OPN,,,-46,1,0,0.  0.  0.  0,11,xfinitywifi,
04:A1:51:23:5B:B3,2016-02-27 06:42:24,2016-02-27 06:42:24,6,54,WPA2,CCMP,PSK,-64,2,0,0.  0.  0.  0,19,TrilogyChiropractic,
06:A1:51:23:5B:B4,2016-02-27 06:42:24,2016-02-27 06:42:24,6,54,WPA2,CCMP,PSK,-64,2,0,0.  0.  0.  0,13,Trilogy-Guest,
54:BE:F7:DC:37:79,2016-02-27 06:42:24,2016-02-27 06:42:24,6,54,WPA2 WPA,CCMP TKIP,PSK,-78,1,0,0.  0.  0.  0,0,,
6C:70:9F:DC:B1:A2,2016-02-27 06:42:24,2016-02-27 06:42:24,6,54,WPA2,CCMP,PSK,-80,1,0,0.  0.  0.  0,22,_If Wishes Were Fishes,
08:62:66:40:16:A0,2016-02-27 06:42:24,2016-02-27 06:42:24,6,54,WPA2,CCMP,PSK,-76,1,0,0.  0.  0.  0,7,KLSulli,
00:71:C2:AA:E5:70,2016-02-27 06:42:24,2016-02-27 06:42:24,6,54,WPA2 WPA,CCMP TKIP,PSK,-70,2,0,0.  0.  0.  0,7,hoey2.4,
00:71:C2:6F:D6:20,2016-02-27 06:42:24,2016-02-27 06:42:24,6,54,WPA2 WPA,CCMP TKIP,PSK,-80,1,0,0.  0.  0.  0,13,HOME-308A-2.4,
E6:3E:FC:9F:45:10,2016-02-27 06:42:24,2016-02-27 06:42:24,1,54,OPN,,,-66,1,0,0.  0.  0.  0,11,xfinitywifi,
00:71:C2:6F:D6:22,2016-02-27 06:13:12,2016-02-27 06:13:20,6,54,OPN,,,-74,3,0,0.  0.  0.  0,11,xfinitywifi,
94:57:A5:C6:0A:4C,2016-02-27 06:13:16,2016-02-27 06:13:16,11,54,WPA2,CCMP,PSK,-70,1,0,0.  0.  0.  0,29,DIRECT-4B-HP ENVY 4520 series,
94:44:52:F7:42:E7,2016-02-27 06:13:16,2016-02-27 06:13:20,6,54,WPA2 WPA,CCMP,PSK,-68,2,0,0.  0.  0.  0,3,KCD,
00:71:C2:AA:E5:70,2016-02-27 06:13:16,2016-02-27 06:13:16,6,54,WPA2 WPA,CCMP TKIP,PSK,-68,1,0,0.  0.  0.  0,7,hoey2.4,
00:71:C2:6F:D6:21,2016-02-27 06:13:16,2016-02-27 06:13:16,6,54,WPA2 WPA,CCMP TKIP,PSK,-68,1,0,0.  0.  0.  0,0,,
00:71:C2:61:EE:28,2016-02-27 06:13:12,2016-02-27 06:13:20,1,54,WPA2 WPA,CCMP TKIP,PSK,-67,6,0,0.  0.  0.  0,13,HOME-E4CE-2.4,
00:71:C2:61:EE:2A,2016-02-27 06:13:12,2016-02-27 06:13:20,1,54,OPN,,,-63,3,0,0.  0.  0.  0,11,xfinitywifi,
90:C7:92:32:E7:60,2016-02-27 06:13:16,2016-02-27 06:13:20,6,54,WPA2,CCMP TKIP,PSK,-68,2,0,0.  0.  0.  0,9,HOME-E762,
02:15:99:A9:A5:B8,2016-02-27 06:13:17,2016-02-27 06:13:21,7,54,WPA2,CCMP,PSK,-68,2,0,0.  0.  0.  0,16,DIRECT-HnML-2160,
54:BE:F7:DC:37:78,2016-02-27 06:13:12,2016-02-27 06:13:12,6,54,WPA2 WPA,CCMP TKIP,PSK,-64,1,0,0.  0.  0.  0,13,HOME-F4A1-2.4,
9C:34:26:25:AC:C6,2016-02-27 06:13:12,2016-02-27 06:13:20,1,54,WPA2 WPA,CCMP TKIP,PSK,-62,5,0,0.  0.  0.  0,8,Buddy206,
E2:3E:FC:9F:45:10,2016-02-27 06:13:12,2016-02-27 06:13:20,1,54,WPA2,CCMP,PSK,-61,4,0,0.  0.  0.  0,0,,
9E:34:26:25:AC:C6,2016-02-27 06:13:12,2016-02-27 06:13:20,1,54,WPA2 WPA,CCMP TKIP,PSK,-61,2,0,0.  0.  0.  0,0,,
40:4A:03:DE:C0:D3,2016-02-27 06:13:14,2016-02-27 06:13:18,3,54,WPA2 WPA,CCMP TKIP,PSK,-61,2,0,0.  0.  0.  0,8,KitKatKo,
90:EF:68:05:51:D9,2016-02-27 06:13:12,2016-02-27 06:13:20,1,54,WPA2 WPA,CCMP TKIP,PSK,-61,5,0,0.  0.  0.  0,11,FeedTheMoon,
AE:34:26:25:AC:C6,2016-02-27 06:13:12,2016-02-27 06:13:21,1,54,OPN,,,-60,4,0,0.  0.  0.  0,11,xfinitywifi,
E8:3E:FC:9F:45:10,2016-02-27 06:13:12,2016-02-27 06:13:20,1,54,WPA2,CCMP TKIP,PSK,-58,6,0,0.  0.  0.  0,6,Fovich,
A0:A3:E2:21:6C:85,2016-02-27 06:13:12,2016-02-27 06:13:20,1,54,WPA2 WPA,CCMP TKIP,PSK,-54,4,4,0.  0.  0.  0,7,CarBear,
20:4E:7F:A0:B3:82,2016-02-27 06:13:14,2016-02-27 06:13:18,3,54,WEP,WEP,,-52,2,0,0.  0.  0.  0,13,WHAT UP WAZZU,
AA:66:7F:C5:EC:B0,2016-02-27 06:13:12,2016-02-27 06:13:20,1,54,WPA2,CCMP,PSK,-53,5,1,0.  0.  0.  0,11,Adam.Tucker,
FA:8F:CA:69:3B:B1,2016-02-27 06:13:15,2016-02-27 06:13:16,11,54,OPN,,,-51,2,0,0.  0.  0.  0,0,,
C0:3F:0E:25:1C:3A,2016-02-27 06:13:12,2016-02-27 06:13:20,11,54,WPA2 WPA,CCMP TKIP,PSK,-47,4,0,0.  0.  0.  0,8,TheLofts,
CE:35:40:48:10:F2,2016-02-27 06:13:16,2016-02-27 06:13:20,11,54,WPA2,CCMP,PSK,-47,2,0,0.  0.  0.  0,12,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,
8E:04:FF:ED:A9:40,2016-02-27 06:13:12,2016-02-27 06:13:20,1,54,WPA2,CCMP,PSK,-47,5,0,0.  0.  0.  0,12,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,
8E:04:FF:ED:A9:41,2016-02-27 06:13:12,2016-02-27 06:13:20,1,54,OPN,,,-47,4,1,10.230. 69.128,11,xfinitywifi,
6C:B0:CE:76:24:9C,2016-02-27 06:13:12,2016-02-27 06:13:21,6,54,WPA2,CCMP,PSK,-46,5,0,0.  0.  0.  0,9,NETGEAR30,
8C:04:FF:ED:A9:4F,2016-02-27 06:13:12,2016-02-27 06:13:20,1,54,WPA2 WPA,CCMP TKIP,PSK,-46,5,0,0.  0.  0.  0,9,HOME-A94F,
12:86:8C:44:07:8E,2016-02-27 06:13:15,2016-02-27 06:13:20,11,54,WPA2 WPA,CCMP TKIP,PSK,-45,4,0,0.  0.  0.  0,0,,
22:86:8C:44:07:8E,2016-02-27 06:13:16,2016-02-27 06:13:20,11,54,OPN,,,-44,3,0,0.  0.  0.  0,11,xfinitywifi,
10:86:8C:44:07:8E,2016-02-27 06:13:12,2016-02-27 06:13:20,11,54,WPA2 WPA,CCMP TKIP,PSK,-44,2,198,0.  0.  0.  0,5,Roxie,
10:5F:06:72:78:35,2016-02-27 06:13:15,2016-02-27 06:13:20,11,54,WPA2 WPA,CCMP TKIP,PSK,-45,2,0,0.  0.  0.  0,15,CenturyLink5546,
14:CC:20:C7:CE:FE,2016-02-27 06:13:12,2016-02-27 06:13:19,5,54,WPA2 WPA,CCMP,PSK,-42,6,4,0.  0.  0.  0,9,Devil Dog,
40:8B:07:23:86:B5,2016-02-27 06:13:12,2016-02-27 06:13:20,6,54,WPA2,CCMP TKIP,PSK,-34,6,19,0.  0.  0.  0,4,SPQR,
C0:3F:0E:09:75:A4,2016-02-27 06:13:13,2016-02-27 06:13:20,11,54,WPA2 WPA,CCMP TKIP,PSK,-28,4,42,0.  0.  0.  0,4,64oz,
D0:BF:9C:51:8E:3E,2016-02-27 06:13:13,2016-02-27 06:13:18,8,54,WPA2,CCMP,PSK,-30,4,0,0.  0.  0.  0,31,HP-Print-3E-Deskjet 2540 series,
74:85:2A:97:5B:08,2016-02-27 06:13:12,2016-02-27 06:13:21,8,54,WPA2,CCMP,PSK,-20,8,0,0.  0.  0.  0,6,Walrus,
74:85:2A:97:5B:0A,2016-02-27 06:13:13,2016-02-27 06:13:19,8,54,OPN,,,-14,7,0,0.  0.  0.  0,11,xfinitywifi,
74:85:2A:97:5B:09,2016-02-27 06:13:13,2016-02-27 06:13:22,8,54,WPA2 WPA,CCMP TKIP,PSK,-12,7,0,0.  0.  0.  0,0,,
00:25:00:FF:94:73,2016-02-27 06:13:12,2016-02-27 06:13:20,-1,-1,,,,-1,0,0,0.  0.  0.  0,0,,
CC:35:40:48:10:F1,2016-02-27 06:13:19,2016-02-27 06:13:19,11,54,WPA2 WPA,CCMP TKIP,PSK,-46,1,0,0.  0.  0.  0,10,VZ-Seattle,
FA:8F:CA:61:6E:4B,2016-02-27 06:13:20,2016-02-27 06:13:20,11,54,OPN,,,-54,1,0,0.  0.  0.  0,0,,
00:71:C2:AA:E5:71,2016-02-27 06:13:20,2016-02-27 06:13:20,6,54,WPA2 WPA,CCMP TKIP,PSK,-64,1,0,0.  0.  0.  0,0,,
54:BE:F7:DC:37:7A,2016-02-27 06:13:20,2016-02-27 06:13:20,6,54,OPN,,,-68,1,0,0.  0.  0.  0,11,xfinitywifi,
92:C7:92:32:E7:60,2016-02-27 06:13:20,2016-02-27 06:13:20,6,54,WPA2,CCMP,PSK,-72,1,0,0.  0.  0.  0,0,,
08:62:66:40:16:A0,2016-02-27 06:42:35,2016-02-27 06:42:39,6,54,WPA2,CCMP,PSK,-75,2,0,0.  0.  0.  0,7,KLSulli,
90:C7:92:1E:D3:30,2016-02-27 06:42:31,2016-02-27 06:42:31,11,54,WPA2,CCMP,PSK,-72,1,0,0.  0.  0.  0,12,NormanTheCat,
84:C9:B2:54:C6:F5,2016-02-27 06:42:34,2016-02-27 06:42:37,5,54,WPA,CCMP TKIP,PSK,-74,2,0,0.  0.  0.  0,15,Wee Ones Parade,
02:15:99:A9:A5:B8,2016-02-27 06:42:32,2016-02-27 06:42:32,7,54,WPA2,CCMP,PSK,-70,1,0,0.  0.  0.  0,16,DIRECT-HnML-2160,
FC:15:B4:A8:CA:35,2016-02-27 06:42:35,2016-02-27 06:42:35,6,54,WPA2,CCMP,PSK,-70,1,0,0.  0.  0.  0,30,HP-Print-35-Officejet Pro 8610,
00:71:C2:6F:D6:21,2016-02-27 06:42:35,2016-02-27 06:42:35,6,54,WPA2 WPA,CCMP TKIP,PSK,-70,1,0,0.  0.  0.  0,0,,
90:C7:92:32:E7:60,2016-02-27 06:42:35,2016-02-27 06:42:39,6,54,WPA2,CCMP TKIP,PSK,-70,4,1,0.  0.  0.  0,9,HOME-E762,
96:C7:92:32:E7:60,2016-02-27 06:42:35,2016-02-27 06:42:39,6,54,OPN,,,-71,4,0,0.  0.  0.  0,11,xfinitywifi,
00:71:C2:61:EE:29,2016-02-27 06:42:32,2016-02-27 06:42:32,1,54,WPA2 WPA,CCMP TKIP,PSK,-68,1,0,0.  0.  0.  0,0,,
94:44:52:F7:42:E7,2016-02-27 06:42:35,2016-02-27 06:42:39,6,54,WPA2 WPA,CCMP,PSK,-68,4,1,0.  0.  0.  0,3,KCD,
00:71:C2:AA:E5:70,2016-02-27 06:42:35,2016-02-27 06:42:39,6,54,WPA2 WPA,CCMP TKIP,PSK,-69,4,0,0.  0.  0.  0,7,hoey2.4,
00:71:C2:6F:D6:20,2016-02-27 06:42:35,2016-02-27 06:42:35,6,54,WPA2 WPA,CCMP TKIP,PSK,-68,1,0,0.  0.  0.  0,13,HOME-308A-2.4,
00:71:C2:61:EE:28,2016-02-27 06:42:35,2016-02-27 06:42:39,1,54,WPA2 WPA,CCMP TKIP,PSK,-68,3,0,0.  0.  0.  0,13,HOME-E4CE-2.4,
C0:4A:00:77:F3:14,2016-02-27 06:42:35,2016-02-27 06:42:39,6,54,WPA2 WPA,CCMP,PSK,-68,3,0,0.  0.  0.  0,8,equinoks,
40:4A:03:DE:C0:D3,2016-02-27 06:42:32,2016-02-27 06:42:32,3,54,WPA2 WPA,CCMP TKIP,PSK,-66,1,0,0.  0.  0.  0,8,KitKatKo,
92:C7:92:32:E7:60,2016-02-27 06:42:35,2016-02-27 06:42:39,6,54,WPA2,CCMP,PSK,-69,4,0,0.  0.  0.  0,0,,
E2:3E:FC:9F:45:10,2016-02-27 06:42:31,2016-02-27 06:42:39,1,54,WPA2,CCMP,PSK,-62,2,0,0.  0.  0.  0,0,,
9E:34:26:25:AC:C6,2016-02-27 06:42:31,2016-02-27 06:42:39,1,54,WPA2 WPA,CCMP TKIP,PSK,-60,4,0,0.  0.  0.  0,0,,
90:EF:68:05:51:D9,2016-02-27 06:42:35,2016-02-27 06:42:39,1,54,WPA2 WPA,CCMP TKIP,PSK,-61,4,0,0.  0.  0.  0,11,FeedTheMoon,
AE:34:26:25:AC:C6,2016-02-27 06:42:35,2016-02-27 06:42:39,1,54,OPN,,,-61,3,0,0.  0.  0.  0,11,xfinitywifi,
9C:34:26:25:AC:C6,2016-02-27 06:42:35,2016-02-27 06:42:39,1,54,WPA2 WPA,CCMP TKIP,PSK,-61,4,0,0.  0.  0.  0,8,Buddy206,
FA:8F:CA:61:6E:4B,2016-02-27 06:42:31,2016-02-27 06:42:38,11,54,OPN,,,-56,4,0,0.  0.  0.  0,0,,
A0:A3:E2:21:6C:85,2016-02-27 06:42:35,2016-02-27 06:42:36,1,54,WPA2 WPA,CCMP TKIP,PSK,-58,2,0,0.  0.  0.  0,7,CarBear,
