BSSID,First time seen,Last time seen,channel,Speed,Privacy,Cipher,Authentication,Power,# beacons,# IV,LAN IP,ID-length,ESSID,Key
00:71:C2:AA:E5:70,2016-02-27 07:12:34,2016-02-27 07:12:42,6,54,WPA2 WPA,CCMP TKIP,PSK,-73,5,0,0.  0.  0.  0,7,hoey2.4,
92:C7:92:32:E7:60,2016-02-27 07:12:34,2016-02-27 07:12:41,6,54,WPA2,CCMP,PSK,-72,3,0,0.  0.  0.  0,0,,
84:C9:B2:54:C6:F5,2016-02-27 07:12:38,2016-02-27 07:12:38,5,54,WPA,CCMP TKIP,PSK,-72,1,0,0.  0.  0.  0,15,Wee Ones Parade,
5A:23:8C:E4:7D:05,2016-02-27 07:12:38,2016-02-27 07:12:38,11,54,OPN,,,-72,1,0,0.  0.  0.  0,11,xfinitywifi,
6C:70:9F:DC:B1:A2,2016-02-27 07:12:34,2016-02-27 07:12:34,-1,-1,,,,-70,0,0,0.  0.  0.  0,0,,
92:C7:92:1E:D3:30,2016-02-27 07:12:37,2016-02-27 07:12:42,11,54,WPA2,CCMP,PSK,-69,5,0,0.  0.  0.  0,0,,
44:32:C8:D0:73:10,2016-02-27 07:12:38,2016-02-27 07:12:42,11,54,WPA2 WPA,CCMP TKIP,PSK,-71,2,0,0.  0.  0.  0,9,HOME-7310,
46:32:C8:D0:73:11,2016-02-27 07:12:38,2016-02-27 07:12:42,11,54,WPA2,CCMP,PSK,-71,2,0,0.  0.  0.  0,12,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,
96:C7:92:32:E7:60,2016-02-27 07:12:34,2016-02-27 07:12:41,6,54,OPN,,,-70,3,0,0.  0.  0.  0,11,xfinitywifi,
00:71:C2:61:EE:2A,2016-02-27 07:12:35,2016-02-27 07:12:43,1,54,OPN,,,-67,4,0,0.  0.  0.  0,11,xfinitywifi,
00:71:C2:AA:E5:72,2016-02-27 07:12:38,2016-02-27 07:12:42,6,54,OPN,,,-70,3,0,0.  0.  0.  0,11,xfinitywifi,
C0:4A:00:77:F3:14,2016-02-27 07:12:34,2016-02-27 07:12:42,6,54,WPA2 WPA,CCMP,PSK,-67,3,0,0.  0.  0.  0,8,equinoks,
00:71:C2:61:EE:29,2016-02-27 07:12:35,2016-02-27 07:12:43,1,54,WPA2 WPA,CCMP TKIP,PSK,-62,4,0,0.  0.  0.  0,0,,
