Station MAC,First time seen,Last time seen,Power,# packets,BSSID,Probed ESSIDs
00:20:00:84:16:F2,2016-02-27 07:36:23,2016-02-27 07:36:24,-66,6,(not associated),hnetwork-2-guest
F0:4F:7C:9F:C8:0D,2016-02-27 07:36:25,2016-02-27 07:36:31,-60,19,AA:66:7F:C5:EC:B0,
DE:16:1F:BC:9D:D2,2016-02-27 07:36:23,2016-02-27 07:36:31,-58,9,00:25:00:FF:94:73,
1C:99:4C:2F:B8:6C,2016-02-27 07:36:26,2016-02-27 07:36:26,-56,3,C0:3F:0E:09:75:A4,
6C:AD:F8:1B:99:41,2016-02-27 07:36:22,2016-02-27 07:36:30,-54,109,10:86:8C:44:07:8E,
5C:AA:FD:6D:10:D1,2016-02-27 07:36:30,2016-02-27 07:36:30,-40,1,(not associated),Sonos_mPkhyEDK3tQ60KGTSe2or61ec5
34:4D:F7:1C:28:C4,2016-02-27 07:36:42,2016-02-27 07:36:42,-66,3,8E:04:FF:ED:A9:41,
5C:AA:FD:46:39:DB,2016-02-27 07:36:40,2016-02-27 07:36:40,-64,1,(not associated),Sonos_bwq4jpiMuDtv3PszJbsbHhXSPM
C0:D9:62:44:3D:E2,2016-02-27 07:36:41,2016-02-27 07:36:45,-62,73,94:44:52:F7:42:E7,
F0:4F:7C:9F:C8:0D,2016-02-27 07:36:37,2016-02-27 07:36:46,-58,67,AA:66:7F:C5:EC:B0,
6C:AD:F8:1B:99:41,2016-02-27 07:36:40,2016-02-27 07:36:44,-52,11,10:86:8C:44:07:8E,
DE:16:1F:BC:9D:D2,2016-02-27 07:36:38,2016-02-27 07:36:46,-56,4,00:25:00:FF:94:73,
5C:AA:FD:6D:10:D1,2016-02-27 07:36:45,2016-02-27 07:36:45,-40,1,(not associated),Sonos_mPkhyEDK3tQ60KGTSe2or61ec5
34:4D:F7:1C:28:C4,2016-02-27 07:36:57,2016-02-27 07:36:58,-66,2,8E:04:FF:ED:A9:41,
D8:30:62:54:8A:0C,2016-02-27 07:36:54,2016-02-27 07:36:54,-62,1,90:EF:68:05:51:D9,
00:0E:58:E9:24:B5,2016-02-27 07:36:56,2016-02-27 07:36:56,-62,1,(not associated),Sonos_zgCcfASRPuguqRQmWGuRMELbMc
C0:D9:62:44:3D:E2,2016-02-27 07:36:56,2016-02-27 07:37:00,-62,8,94:44:52:F7:42:E7,
DE:16:1F:BC:9D:D2,2016-02-27 07:36:53,2016-02-27 07:37:01,-56,11,00:25:00:FF:94:73,
6C:AD:F8:1B:99:41,2016-02-27 07:36:55,2016-02-27 07:37:00,-58,171,10:86:8C:44:07:8E,
FC:FC:48:06:CD:E4,2016-02-27 07:36:56,2016-02-27 07:36:56,-58,1,40:8B:07:23:86:B5,
5C:AA:FD:6D:10:D1,2016-02-27 07:36:56,2016-02-27 07:37:00,-40,2,(not associated),Sonos_mPkhyEDK3tQ60KGTSe2or61ec5
F0:4F:7C:9F:C8:0D,2016-02-27 07:36:52,2016-02-27 07:37:01,-58,54,AA:66:7F:C5:EC:B0,
5C:AA:FD:6D:10:D0,2016-02-27 07:36:56,2016-02-27 07:36:58,-42,2,14:CC:20:C7:CE:FE,
